Date,Open,High,Low,Close,Adj Close,Volume
19-09-2022,3718.949951,3801.949951,3680.75,3778.649902,3778.649902,3092486
20-09-2022,3819,3885,3812,3834.550049,3834.550049,3338704
21-09-2022,3837.649902,3862.800049,3571.25,3640.100098,3640.100098,6089846
22-09-2022,3639,3735.949951,3608.050049,3716.300049,3716.300049,3490772
23-09-2022,3732,3737.899902,3655,3674.300049,3674.300049,3001474
26-09-2022,3646.300049,3658,3532,3586.199951,3586.199951,3123908
27-09-2022,3596,3629.550049,3485.850098,3559.100098,3559.100098,3546332
28-09-2022,3528,3596.949951,3503,3548.75,3548.75,2259832
29-09-2022,3583.5,3664.75,3443.600098,3470.699951,3470.699951,15060223
30-09-2022,3447.949951,3523.800049,3371.100098,3455.75,3455.75,4307707
03-10-2022,3440,3460.050049,3110.199951,3157.300049,3157.300049,7578847
04-10-2022,3230,3291.199951,3125,3237.699951,3237.699951,5642467
06-10-2022,3270,3318.800049,3208.050049,3285,3285,2845165
07-10-2022,3280,3310.949951,3228.149902,3277.600098,3277.600098,1930275
10-10-2022,3234,3278.75,3214.350098,3246.25,3246.25,1590792
11-10-2022,3257.550049,3338,3249,3273.949951,3273.949951,2544394
12-10-2022,3297,3297,3145,3223.649902,3223.649902,2972601
13-10-2022,3218,3262.800049,3189,3233.649902,3233.649902,1840193
14-10-2022,3272,3305,3194.850098,3209.5,3209.5,1344415
17-10-2022,3211,3235,3136.100098,3212.600098,3212.600098,1985298
18-10-2022,3249,3298,3226.100098,3284.300049,3284.300049,1635079
19-10-2022,3300,3310,3259.649902,3277.25,3277.25,1396513
20-10-2022,3260,3365,3245,3357.100098,3357.100098,2211287
21-10-2022,3374.899902,3382,3287,3311.899902,3311.899902,1120790
24-10-2022,3325,3340.100098,3287.399902,3309.800049,3309.800049,248249
25-10-2022,3321.949951,3345,3294,3300.5,3300.5,879424
27-10-2022,3319.850098,3355,3297,3325,3325,1106870
28-10-2022,3322,3387.949951,3297.649902,3323.300049,3323.300049,1323334
31-10-2022,3339.949951,3360,3326.100098,3347.449951,3347.449951,575722
01-11-2022,3361.899902,3607.449951,3352,3575.699951,3575.699951,4393335
